"Timestamp","Current_IP","Current_MAC","Current_Location","2.4_Tx_mcs0","2.4_Tx_mcs1","2.4_Tx_mcs2","2.4_Tx_mcs3","2.4_Tx_mcs4","2.4_Tx_mcs5","2.4_Tx_mcs6","2.4_Tx_mcs7","2.4_Tx_mcs8","2.4_Tx_mcs9","2.4_Tx_mcs10","2.4_Tx_mcs11","2.4_Tx_mcs12","2.4_Tx_mcs13","2.4_Tx_mcs14","2.4_Tx_mcs15","2.4_Tx_mcs16","2.4_Tx_mcs17","2.4_Tx_mcs18","2.4_Tx_mcs19","2.4_Tx_mcs20","2.4_Tx_mcs21","2.4_Tx_mcs22","2.4_Tx_mcs23","5_Tx_mcs0","5_Tx_mcs1","5_Tx_mcs2","5_Tx_mcs3","5_Tx_mcs4","5_Tx_mcs5","5_Tx_mcs6","5_Tx_mcs7","5_Tx_mcs8","5_Tx_mcs9","2.4_Rx_mcs0","2.4_Rx_mcs1","2.4_Rx_mcs2","2.4_Rx_mcs3","2.4_Rx_mcs4","2.4_Rx_mcs5","2.4_Rx_mcs6","2.4_Rx_mcs7","2.4_Rx_mcs8","2.4_Rx_mcs9","2.4_Rx_mcs10","2.4_Rx_mcs11","2.4_Rx_mcs12","2.4_Rx_mcs13","2.4_Rx_mcs14","2.4_Rx_mcs15","2.4_Rx_mcs16","2.4_Rx_mcs17","2.4_Rx_mcs18","2.4_Rx_mcs19","2.4_Rx_mcs20","2.4_Rx_mcs21","2.4_Rx_mcs22","2.4_Rx_mcs23","5_Rx_mcs0","5_Rx_mcs1","5_Rx_mcs2","5_Rx_mcs3","5_Rx_mcs4","5_Rx_mcs5","5_Rx_mcs6","5_Rx_mcs7","5_Rx_mcs8","5_Rx_mcs9"
2020-03-01 00:09:53,2001:0558:4042:0080:AA9F:ECFF:FEDA:9041,A8:9F:EC:DA:90:41,Northern_Liberties,0,4732,9423,4413,5119,5109,1726,859,0,38,18,556,1922,2419,746,1003,0,0,0,0,8,0,0,0,121180,47515,44231,28882,38062,38020,21399,19130,8686,12216,10577,8056,11391,12941,9186,1309,466,380,1812,1401,1235,368,136,1,3,13,16,0,0,0,0,0,0,0,55570,33173,23195,14846,14320,8962,6408,3379,1191,540
2020-03-01 00:10:44,2001:0558:4042:0080:AA9F:ECFF:FEDA:908D,A8:9F:EC:DA:90:8D,Fishtown,11,206642,295363,207639,227544,231609,120619,246056,0,692,935,44484,87995,84774,47733,105048,0,0,0,0,870,454,266,133,18325221,6816540,7689228,4436471,5086180,7216805,6291288,7724281,2013,,504818,366006,563395,612419,584893,259969,149075,109087,83681,111345,112898,119055,91702,19784,5372,2731,576,873,763,194,62,1,1,2,4833051,6876315,5385630,4028435,2266431,1062848,710644,473009,104311,
2020-03-01 00:11:41,2001:0558:4042:0060:AA9F:ECFF:FEDA:9091,A8:9F:EC:DA:90:91,Northern_Liberties,0,27057,40725,21697,22758,19273,10966,27327,0,17,80,5642,7282,9246,5196,11828,0,0,0,0,497,288,148,23,4099974,1098170,1050561,667711,733095,865314,408462,273117,163167,36,77084,49075,65541,1049565,34605,11963,4662,3648,14250,16689,10931,12182,4940,752,334,332,1125,1155,920,325,47,0,0,0,749698,903865,417772,215368,164492,88029,54238,57337,23185,14752
2020-03-01 00:12:42,2001:0558:4042:0060:AA9F:ECFF:FEDA:9099,A8:9F:EC:DA:90:99,Northern_Liberties,0,11349,15810,10596,12121,9726,4782,11493,0,37,94,3497,4901,6369,3531,5872,0,0,0,0,176,51,2,0,1937826,582858,595660,387456,448071,499158,243037,119492,77239,1424,35115,23274,34493,875297,20123,7121,3243,4692,9804,9502,7837,7679,4323,487,271,158,287,255,140,33,4,0,0,0,397779,356867,233631,113479,93867,52167,30933,19565,10592,7604
2020-03-01 00:13:23,2001:0558:4042:0080:AA9F:ECFF:FEDA:909D,A8:9F:EC:DA:90:9D,Northern_Liberties,0,19833,32399,14457,12427,10868,6410,20824,0,255,284,3163,6491,8794,4736,9097,0,0,0,0,164,180,122,28,1386724,434064,450996,241146,296704,368390,188646,114086,63135,1808,50125,24820,42696,3617444,26129,10750,5102,8325,10597,12791,11377,12808,11743,4296,2237,2688,894,276,158,94,285,7,0,0,231242,347815,223307,96980,78220,47139,27520,19615,10052,10091
2020-03-01 00:15:05,2001:0558:4042:0060:AA9F:ECFF:FEDA:90B1,A8:9F:EC:DA:90:B1,Northern_Liberties,1,160833,278179,243384,658201,139233,54329,92455,0,1572,1679,435202,424782,273784,99394,129623,0,0,0,0,957,604,190,108,11616557,3181100,4205036,2123640,2550829,2920643,1777073,1390003,8922,,411260,301048,489042,488210,470166,217788,111304,67390,126072,146221,175751,125599,126474,19431,2739,774,2749,2859,1319,164,149,0,0,0,2233720,3350503,2157988,903437,697174,403992,246551,142902,44752,33
2020-03-01 00:16:14,2001:0558:4042:006C:76EA:E8FF:FEF2:CBAD,74:EA:E8:F2:CB:AD,Northern_Liberties,0,271006,445315,179910,172906,213184,124315,470865,0,29756,34636,55156,92798,156806,95021,338974,0,0,0,0,65424,70719,93956,318791,4875626,1771539,1899679,1690226,3875455,2852014,1602147,1294621,67590,,371507,406545,513103,4165817,720338,369190,258552,245068,130838,179193,229085,303626,433522,165295,119879,124020,26120,57503,131455,170220,330040,122596,102929,77639,1500111,3132880,2830422,1574453,1138324,681598,400678,222889,57448,
2020-03-01 00:16:56,2001:0558:4042:0060:76EA:E8FF:FEF2:CD4D,74:EA:E8:F2:CD:4D,Northern_Liberties,1,162604,167642,70274,61662,38856,19583,23293,0,47298,83447,47581,62140,95850,26704,48844,0,0,0,0,28725,15085,3244,936,1856463,544117,633933,460082,674891,870061,493509,356624,197550,4554,461546,179048,224858,179901,167896,69333,31630,17853,75724,68489,62670,57151,46611,12991,5010,1738,13947,11364,7016,657,41,4,1,0,485443,637486,440067,283012,253546,142837,84112,56669,13371,9759
2020-03-01 00:18:06,2001:0558:4042:0080:AA9F:ECFF:FEDA:9149,A8:9F:EC:DA:91:49,Northern_Liberties,0,4953,5643,1852,1853,1169,897,1417,0,0,0,463,754,1560,1413,4962,0,0,0,0,0,0,0,0,352150,51422,58493,45571,71864,92351,67594,71453,46562,9360,10646,5356,6698,22544,3910,863,381,154,3015,3299,3575,2635,1347,29,21,10,0,0,0,0,0,0,0,0,47992,62262,46893,43371,39402,29783,23247,14023,2879,1868
2020-03-01 00:19:00,2001:0558:4042:0080:AA9F:ECFF:FEDA:914D,A8:9F:EC:DA:91:4D,Northern_Liberties,0,81313,135872,67570,73586,82512,49107,113608,0,330,346,14684,37006,66465,74908,115279,0,0,0,0,478,513,314,169,3040981,1017756,1154494,759695,920678,1130362,699287,378817,206688,4,224262,184084,261191,205239,196457,56699,38458,38442,46133,50712,60666,45960,40361,6685,3437,1410,941,443,939,612,366,124,0,0,542548,1221724,889074,327836,273376,157909,94694,45869,12539,1223
2020-03-01 00:19:57,2001:0558:4042:006C:76EA:E8FF:FEF2:CD65,74:EA:E8:F2:CD:65,Northern_Liberties,0,122458,171986,92378,90983,80367,36074,63228,0,155,129,17581,41244,74391,49845,100252,0,0,0,0,196,84,123,467,1822173,494932,562839,495433,877462,1271161,964809,1065046,727447,110,263984,215808,224250,317324,164190,65710,35372,40280,122336,146888,106083,89534,71489,17943,11202,9719,165,363,352,556,518,106,26,24,480332,721215,647252,652317,687149,439679,279438,151407,30748,22441
2020-03-01 00:21:08,2001:0558:4042:0046:AA9F:ECFF:FEDA:AFFD,A8:9F:EC:DA:AF:FD,Italian_Market,16,12007,17247,11915,13619,12892,7497,15407,0,94,160,3607,10555,21092,15371,56256,0,0,0,0,40,21,11,6,481051,140792,186961,123286,207597,280206,201343,187124,105272,39295,33483,26236,42084,1098561,46308,14471,9597,10523,13705,23030,33094,34155,59823,21936,9864,5100,422,297,9,1,6,0,5,3,124816,203785,167534,142894,136841,90899,62825,30942,8031,5608
